,Statement Author,Statement,Rating,cleaned,statement_length,word_count,sentence_count,unique_words,lexical_richness,punctuation_count,noun_%,pronoun_%,verb_%,adj_%,determiner_%,foreign_%
0,Fentrice Driskell,"""$1 of every $3 (Ron DeSantis) spends comes from the federal government.""",true,"['every', 'ron', 'desantis', 'spends', 'come', 'federal', 'government']",73,7,1,12,10.0,7,0.15789473684210525,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0
1,Robert Ortt,"If New York’s proposed limits on natural gas in buildings take effect, the grid today can’t handle the increased electric load.",true,"['new', 'york', 'proposed', 'limit', 'natural', 'gas', 'building', 'take', 'effect', 'grid', 'today', 'handle', 'increased', 'electric', 'load']",127,15,1,19,123.47999999999988,2,0.4074074074074074,0.0,0.18518518518518517,0.1111111111111111,0.07407407407407407,0.0
2,Tony Evers,"“Wisconsin is the nation’s top cranberry producer — in fact, our farmers harvest around 60 percent of the country’s crop.”",true,"['wisconsin', 'nation', 'top', 'cranberry', 'producer', 'fact', 'farmer', 'harvest', 'around', 'percent', 'country', 'crop']",122,12,1,18,101.07999999999991,2,0.42857142857142855,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0
3,Morgan Luttrell,"""Biden drained America's Strategic Petroleum Reserves to the lowest level since 1984.""",true,"['biden', 'drained', 'america', 'strategic', 'petroleum', 'reserve', 'lowest', 'level', 'since']",86,9,1,12,12.0,4,0.3125,0.0,0.0625,0.0,0.0625,0.0
4,Melissa Agard,"""Historically, our spring elections (including for state Supreme Court) have a smaller turnout associated with them.""",true,"['historically', 'spring', 'election', 'including', 'state', 'supreme', 'court', 'smaller', 'turnout', 'associated']",117,10,1,16,16.0,6,0.2727272727272727,0.09090909090909091,0.13636363636363635,0.0,0.045454545454545456,0.0
5,Tammy Baldwin,"""Latina workers make 54 cents for every dollar earned by white, non-Hispanic men.""",true,"['latina', 'worker', 'make', 'cent', 'every', 'dollar', 'earned', 'white', 'non', 'hispanic', 'men']",82,11,1,13,12.0,5,0.23529411764705882,0.0,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.0
6,Kevin Brady,Joe Biden’s $36 billion for a union pension fund is “the largest private pension bailout in American history.”,true,"['joe', 'biden', 'billion', 'union', 'pension', 'fund', 'largest', 'private', 'pension', 'bailout', 'american', 'history']",110,12,1,16,90.71999999999997,2,0.4166666666666667,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0
7,Elise Stefanik,Proposed rule would limit milk for WIC participants,true,"['proposed', 'rule', 'would', 'limit', 'milk', 'wic', 'participant']",51,7,1,8,8.0,0,0.5,0.0,0.25,0.0,0.0,0.0
8,Bryan Steil,"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years.""",true,"['milwaukee', 'homicide', 'rate', 'nearly', 'doubled', 'past', 'two', 'year']",77,8,1,11,23.660000000000004,6,0.21052631578947367,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0
9,Joe Biden,“Gas prices are down back to where they were before Russia invaded Ukraine.”,true,"['gas', 'price', 'back', 'russia', 'invaded', 'ukraine']",76,6,1,13,14.0,1,0.375,0.0625,0.1875,0.0,0.0,0.0
10,Joe Manchin,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,true,"['west', 'virginia', 'poised', 'receive', 'orphaned', 'well', 'clean', 'project', 'across', 'state']",99,10,1,16,16.0,3,0.25,0.0,0.15,0.1,0.05,0.0
11,Everytown for Gun Safety,“Kari Lake is opposed to red flag laws.”,true,"['kari', 'lake', 'opposed', 'red', 'flag', 'law']",40,6,1,8,9.0,1,0.5454545454545454,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
12,Liquid Death,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",true,"['georgia', 'illegal', 'give', 'people', 'water', 'within', 'foot', 'polling', 'place', 'punishable', 'year', 'prison']",126,12,1,18,53.760000000000005,7,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.0
13,Ashley Hinson,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",true,"['nancy', 'pelosi', 'gave', 'boost', 'lizmathis', 'campaign']",61,6,1,9,9.0,3,0.6,0.0,0.2,0.0,0.0,0.0
14,Jevin Hodge,David Schweikert has “been convicted of 11 House ethics violations.”,true,"['david', 'schweikert', 'convicted', 'house', 'ethic', 'violation']",68,6,1,10,10.0,1,0.46153846153846156,0.0,0.23076923076923078,0.0,0.0,0.0
15,A Better Wisconsin Together,"Says Tim Michels ""opposes closing the loophole that allows domestic abusers to buy guns.""",true,"['say', 'tim', 'michels', 'opposes', 'closing', 'loophole', 'allows', 'domestic', 'abuser', 'buy', 'gun']",89,11,1,14,14.0,3,0.29411764705882354,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0
16,West Virginia Republican Party,“Overdoses reached an all-time high in 2021.”,true,"['overdoses', 'reached', 'time', 'high']",45,4,1,7,7.0,2,0.3,0.0,0.2,0.1,0.1,0.0
17,Democratic Senatorial Campaign Committee,"Herschel Walker misled about “personally treating 4,500 veterans per year,” about “graduating from college” and about “working in law enforcement.”",true,"['herschel', 'walker', 'misled', 'personally', 'treating', 'veteran', 'per', 'year', 'graduating', 'college', 'working', 'law', 'enforcement']",147,13,1,17,41.15999999999999,3,0.39285714285714285,0.0,0.17857142857142858,0.03571428571428571,0.0,0.0
18,Kathy Hoffman,"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",true,"['since', 'successfully', 'lobbied', 'fund', 'add', 'hundred', 'school', 'counselor', 'lowering', 'student', 'school', 'counselor', 'ratio']",146,13,1,19,74.05999999999996,5,0.36666666666666664,0.06666666666666667,0.13333333333333333,0.0,0.03333333333333333,0.0
19,Elizabeth Warren,"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",true,"['folk', 'student', 'loan', 'college', 'diploma', 'four', 'year', 'diploma', 'people', 'truck', 'driver', 'nail', 'technician', 'nurse', 'aide']",178,15,2,21,38.440000000000005,6,0.39473684210526316,0.0,0.15789473684210525,0.05263157894736842,0.07894736842105263,0.0
20,Instagram posts,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",true,"['image', 'claim', 'show', 'list', 'republican', 'member', 'congress', 'whose', 'ppp', 'loan', 'forgiven']",94,11,1,14,71.68,3,0.3684210526315789,0.0,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.0
21,League of Conservation Voters,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,true,"['say', 'republican', 'u', 'sen', 'ron', 'johnson', 'called', 'climate', 'change', 'bull', 'record', 'heatwave', 'raked', 'k', 'fossil', 'fuel', 'cash']",144,17,1,21,174.9999999999999,9,0.5454545454545454,0.0,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.0
22,Francesca Hong,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true,"['wisconsin', 'state', 'assembly', 'session', 'gop', 'bill', 'received', 'public', 'hearing', 'meanwhile', 'gop', 'allowed', 'le', 'democratic', 'bill', 'hearing']",180,16,2,19,31.32,8,0.3076923076923077,0.0,0.07692307692307693,0.05128205128205128,0.1282051282051282,0.0
23,Greg Abbott,Texas' public high school graduation rate is at 90% overall.,true,"['texas', 'public', 'high', 'school', 'graduation', 'rate', 'overall']",60,7,1,10,9.0,3,0.38461538461538464,0.0,0.0,0.23076923076923078,0.0,0.0
